Region,Fecha,Fallecidos,Nuevos Fallecidos
Ñuble,2020-03-08,63.0,-93.0
Ñuble,2020-04-09,81.0,18.0
Ñuble,2020-04-12,187.0,106.0
Ñuble,2020-05-07,42.0,-145.0
Ñuble,2020-05-10,122.0,80.0
Ñuble,2020-06-11,160.0,38.0
Ñuble,2020-07-08,68.0,-92.0
Ñuble,2020-07-09,84.0,16.0
Ñuble,2020-07-12,187.0,103.0
Ñuble,2020-09-10,124.0,-63.0
Ñuble,2020-09-11,162.0,38.0
Ñuble,2020-10-07,46.0,-116.0
Ñuble,2020-10-08,69.0,23.0
Ñuble,2020-11-09,90.0,21.0
Ñuble,2020-11-12,193.0,103.0
Ñuble,2020-12-06,20.0,-173.0
Ñuble,2020-12-10,129.0,109.0
Ñuble,2021-01-01,224.0,95.0
Ñuble,2021-01-02,276.0,52.0
Ñuble,2021-01-03,339.0,63.0
Ñuble,2021-01-10,808.0,469.0
Ñuble,2021-01-11,845.0,37.0
Ñuble,2021-02-04,498.0,-347.0
Ñuble,2021-02-07,677.0,179.0
Ñuble,2021-02-08,746.0,69.0
Ñuble,2021-03-05,510.0,-236.0
Ñuble,2021-03-09,777.0,267.0
Ñuble,2021-03-12,895.0,118.0
Ñuble,2021-04-01,226.0,-669.0
Ñuble,2021-04-06,600.0,374.0
Ñuble,2021-04-10,811.0,211.0
Ñuble,2021-05-02,287.0,-524.0
Ñuble,2021-05-03,371.0,84.0
Ñuble,2021-05-04,505.0,134.0
Ñuble,2021-05-07,689.0,184.0
Ñuble,2021-05-11,850.0,161.0
Ñuble,2021-06-08,751.0,-99.0
Ñuble,2021-06-09,778.0,27.0
Ñuble,2021-06-12,900.0,122.0
Ñuble,2021-07-05,519.0,-381.0
Ñuble,2021-07-06,612.0,93.0
